t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-4.923992399239924,8.462916033756821e-6,-1.3229265780187951e-14,8.46291604698609e-6,1.2827853670866275e-6,-5.759442481254256e-15,1.2827853836796652e-6,1.7901670618401532e-12
-4.922992299229923,8.617435893174419e-6,1.081345190605812e-14,8.617435882360968e-6,1.3225691998190597e-6,-2.879721240627128e-14,1.3225692111838255e-6,1.8902782032168667e-12
-4.921992199219922,8.773193615963367e-6,2.541564200159064e-14,8.773193590547725e-6,1.3630476155552887e-6,0.0,1.363047623156013e-6,1.9946753602671256e-12
-4.92099209920992,8.930173437266218e-6,-1.9645904565708135e-15,8.930173439230808e-6,1.4042238107858916e-6,-4.6075539850034045e-14,1.4042238414463612e-6,2.1034892730015506e-12
-4.91999199919992,9.08835777848453e-6,-2.7552203649021275e-14,9.088357806036734e-6,1.446101051114755e-6,-5.759442481254256e-15,1.4461010689783435e-6,2.2168531363334096e-12
-4.918991899189919,9.247727304974558e-6,3.4153534892370695e-14,9.247727270821021e-6,1.4886824869569169e-6,-2.3037769925017022e-14,1.488682504947404e-6,2.334902614137085e-12
-4.917991799179918,9.40826073150191e-6,2.1659248849590304e-14,9.40826070984266e-6,1.531971332081281e-6,0.0,1.5319713582985338e-6,2.4577758530220217e-12
-4.916991699169917,9.569935429961238e-6,3.462195800822863e-14,9.569935395339278e-6,1.5759708348134071e-6,-1.7278327443762767e-14,1.5759708592277425e-6,2.58561349585473e-12
-4.915991599159916,9.732727103471947e-6,-6.837763712545968e-17,9.732727103540326e-6,1.620684249238297e-6,0.0,1.6206842685375603e-6,2.718558695033497e-12
-4.914991499149915,9.896610200213793e-6,-3.316427303107803e-14,9.896610233378065e-6,1.6661148524787226e-6,-4.6075539850034045e-14,1.6661148847174083e-6,2.8567571255640576e-12
-4.913991399139913,1.0061557932934073e-5,-5.126446579770163e-15,1.006155793806052e-5,1.7122660138085357e-6,-3.4556654887525534e-14,1.7122660486523191e-6,3.00035699799638e-12
-4.912991299129914,1.0227542254083045e-5,-1.7913497075863757e-14,1.0227542271996542e-5,1.7591411140204722e-6,-1.1518884962508511e-14,1.759141145952272e-6,3.1495090712167625e-12
-4.911991199119912,1.0394534328161597e-5,-2.5881194269554606e-14,1.039453435404279e-5,1.8067435742233665e-6,-1.1518884962508511e-14,1.806743606963177e-6,3.3043666651685534e-12
-4.910991099109911,1.0562504517046779e-5,-3.098880796138221e-14,1.0562504548035584e-5,1.855076896158247e-6,-1.1518884962508511e-14,1.8550769045567352e-6,3.4650856735343814e-12
-4.909990999099911,1.07314226908969e-5,3.013140167345106e-14,1.0731422660765497e-5,1.904144495174505e-6,-3.4556654887525534e-14,1.9041445498813912e-6,3.631824576422232e-12
-4.908990899089909,1.0901258135586307e-5,-2.1210475242744862e-14,1.0901258156796783e-5,1.9539500688342135e-6,-1.1518884962508511e-14,1.9539500863005652e-6,3.804744453111841e-12
-4.907990799079908,1.1071980397931732e-5,8.96678374893984e-15,1.1071980388964948e-5,2.004497055524534e-6,-4.031609736877979e-14,2.0044970817176016e-6,3.984008994883311e-12
-4.906990699069907,1.1243558853275479e-5,1.0664817570871408e-14,1.1243558842610663e-5,2.0557891182508844e-6,-1.1518884962508511e-14,2.055789119574057e-6,4.1697845179822686e-12
-4.905990599059907,1.1415963370491297e-5,-2.0408751064108983e-14,1.1415963390900048e-5,2.1078297702731785e-6,-2.879721240627128e-14,2.107829788836897e-6,4.362239976772681e-12
-4.904990499049905,1.1589164580960499e-5,2.3132079187579208e-14,1.1589164557828419e-5,2.1606226803562763e-6,-5.759442481254256e-15,2.160622673306151e-6,4.561546977105629e-12
-4.903990399039904,1.1763133818918615e-5,3.367610355700537e-14,1.1763133785242512e-5,2.2141713272034367e-6,-1.7278327443762767e-14,2.214171340527917e-6,4.767879789956305e-12
-4.902990299029903,1.1937843670664415e-5,-3.013753905549146e-14,1.1937843700801952e-5,2.2684793104662113e-6,-1.7278327443762767e-14,2.2684793306346256e-6,4.9814153653134005e-12
-4.901990199019902,1.2113268369493035e-5,-1.2396013212054106e-14,1.2113268381889047e-5,2.3235501318856273e-6,-1.1518884962508511e-14,2.3235501454342983e-6,5.202333346371945e-12
-4.900990099009901,1.2289383598291346e-5,-1.2499606793376322e-14,1.228938361079095e-5,2.379387218329962e-6,-1.7278327443762767e-14,2.3793872380062927e-6,5.430816084037174e-12
