path,zeta,M,dt,dkx,rtol,atol
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.6897785379387658_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.6897785379387658,4.8828125e-5,0.0010934206118908634,5.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.8002502278161051_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.8002502278161051,4.8828125e-5,0.0010934206118908634,7.000000000000002e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.9284145445194745_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.9284145445194745,4.8828125e-5,0.0010934206118908634,6.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.0771050560367692_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,1.0771050560367692,4.8828125e-5,0.0010934206118908634,5.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.2496091412919867_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,1.2496091412919867,4.8828125e-5,0.0010934206118908634,3.0000000000000004e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.4497406703726323_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,1.4497406703726323,0.00078125,0.0005467103059454317,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.6819243248808697_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,1.6819243248808697,0.00078125,0.0010934206118908634,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=1.9512934226359633_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,1.9512934226359633,0.00078125,0.0010934206118908634,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=10.0_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,10.0,0.00078125,0.002186841223781727,8.0e-7,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=2.2638034095214477_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,2.2638034095214477,0.00078125,0.0010934206118908634,4.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=2.6263635276533326_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,2.6263635276533326,0.00078125,0.002186841223781727,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=3.046989570903508_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,3.046989570903508,0.00078125,0.002186841223781727,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=3.5349811050301057_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,3.5349811050301057,0.00078125,0.002186841223781727,4.9999999999999996e-6,1.0e-13
